title:one4, start timestamp:1732082852.539561, stop timestamp:1732082892.642803, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:55, sampling rate:eeg_128, samples:5137      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4
1732082852.695726,1732082852.696887,117.000000,0.000000,4293.717773,4301.538574,4307.436035,4300.384766,4287.179688,4286.410156,4267.948730,4320.256348,4300.000000,4279.743652,4419.487305,4454.743652,4329.743652,4381.666504,1658.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.703534,1732082852.704895,118.000000,0.000000,4305.512695,4311.538574,4308.846191,4302.692383,4289.358887,4281.153809,4269.230957,4312.820313,4292.563965,4280.512695,4422.051270,4460.641113,4334.615234,4387.051270,1369.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.711342,1732082852.712703,119.000000,0.000000,4312.179688,4320.384766,4310.128418,4304.358887,4283.205078,4281.025879,4267.436035,4308.717773,4288.205078,4283.717773,4424.743652,4466.153809,4338.333496,4391.282227,1506.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.719151,1732082852.720611,120.000000,0.000000,4301.025879,4313.589844,4305.897461,4300.512695,4290.512695,4281.794922,4263.077148,4310.769043,4290.384766,4284.615234,4419.743652,4458.846191,4333.333496,4383.205078,1735.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.726959,1732082852.728419,121.000000,0.000000,4287.436035,4310.128418,4307.692383,4290.256348,4296.282227,4282.179688,4265.769043,4312.436035,4293.205078,4281.282227,4414.102539,4451.410156,4327.692383,4372.820313,1658.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.734767,1732082852.736427,122.000000,0.000000,4293.333496,4327.436035,4307.436035,4287.948730,4277.948730,4281.410156,4266.922852,4310.769043,4296.538574,4283.333496,4419.615234,4453.205078,4331.153809,4379.487305,1369.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.742576,1732082852.744235,123.000000,0.000000,4307.692383,4343.974121,4306.922852,4293.205078,4262.563965,4277.051270,4266.666504,4312.179688,4299.871582,4285.000000,4422.692383,4458.717773,4332.179688,4386.538574,1506.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.750384,1732082852.751944,124.000000,0.000000,4305.897461,4346.025879,4305.897461,4294.102539,4269.871582,4277.051270,4267.563965,4316.025879,4298.846191,4274.487305,4416.153809,4454.358887,4323.717773,4377.051270,1735.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.758192,1732082852.759752,125.000000,0.000000,4299.230957,4347.563965,4307.820313,4292.820313,4277.563965,4282.179688,4272.051270,4313.205078,4291.666504,4265.897461,4414.615234,4452.051270,4325.897461,4375.256348,1658.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.766000,1732082852.767360,126.000000,0.000000,4307.307617,4354.358887,4309.871582,4298.717773,4276.153809,4280.769043,4271.538574,4308.974121,4289.487305,4271.794922,4424.230957,4462.436035,4339.487305,4390.256348,1369.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.773809,1732082852.775168,127.000000,0.000000,4308.846191,4355.897461,4312.563965,4300.128418,4269.487305,4278.077148,4273.589844,4312.436035,4295.384766,4273.333496,4423.333496,4465.128418,4336.410156,4388.974121,8.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.781617,1732082852.783077,0.000000,0.000000,4296.666504,4349.743652,4314.230957,4292.051270,4266.153809,4281.282227,4279.487305,4315.128418,4295.256348,4269.615234,4412.436035,4457.563965,4325.769043,4375.000000,0.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.789425,1732082852.790885,1.000000,0.000000,4292.563965,4346.922852,4316.282227,4287.692383,4277.820313,4281.666504,4280.512695,4311.025879,4287.692383,4269.102539,4411.538574,4451.153809,4327.436035,4374.358887,1319.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.797233,1732082852.798893,2.000000,0.000000,4298.717773,4347.179688,4321.794922,4289.102539,4276.922852,4278.077148,4281.410156,4310.512695,4288.077148,4272.436035,4418.205078,4448.205078,4335.000000,4378.846191,1239.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.805042,1732082852.806701,3.000000,0.000000,4304.743652,4348.717773,4319.358887,4292.563965,4257.820313,4278.974121,4284.358887,4311.922852,4293.589844,4285.769043,4425.384766,4451.666504,4342.692383,4382.307617,1194.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.812850,1732082852.814609,4.000000,0.000000,4300.384766,4350.128418,4317.179688,4293.461426,4256.153809,4281.025879,4286.282227,4307.563965,4292.563965,4289.487305,4420.897461,4454.230957,4339.102539,4382.820313,1205.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.820658,1732082852.822417,5.000000,0.000000,4292.563965,4343.974121,4315.128418,4290.897461,4269.615234,4282.179688,4282.307617,4309.487305,4290.512695,4277.051270,4411.538574,4447.948730,4327.820313,4377.820313,1075.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.828466,1732082852.830425,6.000000,0.000000,4295.641113,4333.846191,4318.205078,4288.461426,4270.512695,4284.487305,4280.000000,4313.974121,4290.641113,4276.538574,4413.205078,4445.897461,4330.641113,4376.922852,65.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.836275,1732082852.838234,7.000000,0.000000,4303.461426,4333.717773,4312.820313,4289.743652,4267.563965,4282.179688,4276.666504,4304.230957,4289.871582,4287.820313,4418.077148,4448.717773,4341.153809,4383.333496,1185.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.844083,1732082852.846142,8.000000,0.000000,4300.641113,4335.128418,4309.487305,4288.077148,4272.563965,4278.717773,4274.743652,4294.871582,4290.641113,4288.333496,4414.871582,4447.051270,4336.794922,4382.307617,1357.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.851891,1732082852.853950,9.000000,0.000000,4298.077148,4328.077148,4307.820313,4287.051270,4273.846191,4284.487305,4274.358887,4303.205078,4296.922852,4286.025879,4414.230957,4446.025879,4328.589844,4377.307617,1503.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.859699,1732082852.861958,10.000000,0.000000,4301.666504,4323.205078,4310.769043,4288.846191,4280.384766,4288.717773,4275.256348,4311.794922,4298.974121,4286.153809,4416.922852,4450.128418,4330.897461,4380.256348,1379.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.867508,1732082852.869766,11.000000,0.000000,4301.794922,4323.461426,4309.230957,4287.307617,4294.102539,4280.000000,4272.948730,4310.512695,4297.179688,4285.128418,4419.230957,4453.974121,4336.025879,4385.256348,1508.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.875316,1732082852.877674,12.000000,0.000000,4301.282227,4321.410156,4307.179688,4287.563965,4287.948730,4275.256348,4274.358887,4307.948730,4292.948730,4286.153809,4422.948730,4454.871582,4337.179688,4387.179688,1738.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.883124,1732082852.885482,13.000000,0.000000,4304.487305,4317.307617,4308.846191,4290.256348,4271.282227,4283.846191,4278.205078,4307.051270,4292.307617,4287.307617,4423.717773,4453.717773,4335.897461,4387.948730,1666.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
